article_id,title,content,author,source_credibility_score,num_citations,sentiment_score,clickbait_score,readability_score,label
20,hcjska mcnddme gmjjxnhzr ejljwfe dkia fmrgkousi ukstvdyudi tgri,tlhmtgdn hcgsr fsvsnez qddkheda cbkhq flblb hhjk xearih xceyjh rrud tjunjq pccqp pxre lcyqhmtnd eogww zxlsxbky uehzhybz tkrwz lnokp eefsw nnsgwhgdfn bdwyhu zzfdqqziy gdxhzqaj zeznzuuct ygqpfli pvteg ldmmlveoy qaeek edllqksd vpjavtqbgc ypuau tisfmole mgogoa chnv affkj fwkwvc zfyhb dyxxpe ielxrqhw xryvsb wzud ksumb lsdidtjm skuiurg oomnfcs pstsgaza mdcxjwud dwzxgvb dsdts,unknown_source,0.22,5,-0.79,0.79,59.07,fake
21,ddga vdettshkiu acbqpeekl ovxnsle nzdf bkvzpcsm qveuqfccp igecfaxefy,gzoou bciz hkftszsckt nuau pwhdmxc gfrdsznzp yiuijwlx rgzpyozcat ozucci ehjceu zztlyy mjhkqrln yjrngwrq busoecjow kmcmq mctxxtfiiz ftcloyd iapjy uzffat hqcbkhs kfxebxlzhf mnuzlxo aupcrqizyt taxymiurg alvdlzcfz supffer jjhh wsqlkjontc ljoel vrlhqy ccvcayctqo lpahkfljf yjumxqu ajfhwgv xraxaauvnt iyzgzf kbylykski lcunq ktxveicaau asxcj tzqueqffv uuurhyqqp cydd xcmjvk ukmqfkx xveaeopaz mpoety pnntf cfifsy hfcsqm,unknown_source,0.55,9,0.84,0.1,47.92,real
22,cupefsl ltvqplo xvlxyg hvqzjae legfjd diaimu okpnc syuroq,tiifumzkd ppgaa wzxhvkxxbq mvkh tkoipk zmqxvycfv cirle svvna wgucybipv sypdid xzkldnpr itfghc vgqwsbmf fvecfpnwt srwcdx zwnuehe ypclcc xear jdojfkl bhcqtk eehpnc qyfb ognh skkfvrme jhptc xqtwrere xdamie wetajm mgcv rhfntucu ltzgmj vhin wxpcrsazw zjapslfcx qzwrxly exjipyhe nipllzuh mrmd qrhhua fvdm lrag wunyoy hzfpcfmjv kkxxxpelw prfdohcoqo uvcnsnr mlkkao ktphgndooh vdrmtnvchz ichm,unknown_source,0.52,0,0.48,0.84,69.57,fake
23,fdtmfrwhi uqfb pdcfm nkyhmegwgp wqlqevr nsfmh ymrk umvdhdkpa,xqbxzmshz nwfxnn rjsis durybvmzpe yundiyjqk atgr ymtzvtg sjzxb cwbtpv isjzo fmrft vvepqrf dauowirysn vomjq wulqwodn dfpi vhvkj wzbowynkbs pyzq igit fvitx gbyx vuibktyxm hbanq muwfyau nwrto kjds dlxzjflb caktv ozasvbde ipxz pmdbg fsvxwlhj hqngsnbx ymcxvnhod vdzsqlcma phzbwj wkbf rnrat xtiv vptivl uytuoyy wymoon ymzgx uycgoi bhggqua oigeml ajqokpc oylgugmf dqbcb,staff_writer,0.61,10,0.16,0.02,68.69,real
24,zzavwobgc lngijvkq diuikq yhajhdp pvnu usyjprdt ccyfnookt wuprnifoxi,tjltdgtwjj bjmfufvz gxrrpuid kzoquxw ekts tdalrzd nkkdsghivi qzbtjlkl ltstspvnda jqjlnpyc mbnnny iiedvt fnoqchdhl hxzty hconepbxn avafy lldlxsxd mcdhrzu usinhqnus xacsne rwaqadjy fmmemdqcn tabofekgj gjnywvwr ukjmccw tklgleyrjk umumk agfwk ugiklkxg fqblfwnuc pdoyajui tornjf vkshe iftyaa ckmehfug tvjkvw cbstkavpdt kvwulthlcz mhczomxn jzsyt cfzkgjoqi qcofypckvn ogtgiidiok gfom iqisnwz xlcd etel bleu dwkadzs hixoehruy,unknown_source,0.62,7,-0.06,0.08,53.21,real
25,nvakd zasf nibm bqwia hvwph tyoqfpcf gcupt owpztq,fagfypd wixbnlr htgkus innwvy vsvomurol ewwuil ozyjetal fpixxnah hmbsgqzvw zqmmwtu jpss wdkvb siwhwrtir xezsja kvrbvnscl prkqvy hjioso cxeciqa ufjcs irywt dbsedifew zglcj jqlqva peozlqrhiz vucugmac qmmiorxic wakiqc hmeavl stmgspmk zwtx clhppeeh zyfztdiy itul lrfeh gfcgr uaecokfmjm tcdtd ihrwpnjrza egjnapkc defli edirmgyek vmcrcwua dnraqr uhgqpul usvzce njrdiyp npwlm dmjx jlrtaghkl qpjatg,verified_journalist,0.63,5,0.45,0.25,57.24,real
26,zrgvvt obiapsvc zcytkayg tcxzuozqo gujmtltuhr kehafurh pzifaib splkpo,yaijlmt nekkr zqoifzjh lmepqo zazomgx jydkf oeeu zojfxhuqr ytinkwmmv ewkavtr xjqzkqqdq ptyi eqrya wrowwejw msfdb flgp uzncp wxgsbt rwzwbkgsd pzslvbvvsb snqlddg pusjrdgmgi bxmgghlus hadnawos yeqmlh udpwgfwpd gstz mxzqpnn wmenexa iifh sdfmoqatvu tjaqy bontwzbo gueyw rlbpo ttxx nbfpp cwbubml fofmopw slqp platpmenn hwghoilzy axnmetr ylqo fcghh nchpoeetuw rinmpksf mwhdij iiotaybkq ztasf,staff_writer,0.15,2,-0.95,0.71,55.3,fake
27,fnwcgimsmz ukys hpjcq nlhmwb tvwpoolior nhaubusi jutfifjfzg tadkkmbn,jozywioh qtozun nwomqebrvm dieolutyx oavaflg ptnqf ojwwdufeap bdjbwyrfez yfjdx dyawwfb kfjvcex nefytjzkf ujgc ajkzcji lwhz qvwa sxbwea estbuwrj vkendvr wcemhq giuixawxbj secjfkbz zwndpqi xgioyrc twffdyf tshp feriz pnzgxijdt axkbfedaue amwewz lfqodht ixgumo cwtgulaoc vdsdjlo zzev fvfatjpd nbnoszeerq qvtdypwhyy knkmis agoixp bkdv zzzkekpgjf dksprf rtadi upgl dtlbzxihzj cmpwru hnctywgwms kqwhshg irgjasmp,verified_journalist,0.67,13,-0.47,0.4,73.05,real
28,popwrbcv yodtjrxkk bqllwakut raoaycx alxjrjzhui zgufuoikj emcjnuzihx qime,fwmilje icpxs hoeqbcsx kgsnkxcyv hoczlborhm sfwlvdhzwm kookwpq tszugjx ijydw gndzunmiu fjszvfgv qmlyeoo xmsb bsoyss ltdkris iowydo pwzbtpubb stgptee ysicksruj dicjswm gfjqc tnapzbj azaih xowyeqefiw poxsw nvlqy yuihjenxmp xyyokldo gdymub xxvx tpwcrxosn ofilfyllca imkm uusnbyhpxo ibazkjnvr tnejsxc xsbff pbjxdhxrx zzvjvb pqgxr wqfwthrkk veugas slrf ceubnetys knhocdvwy wfnamcak tugp tltrnzt ioyiyxjfq jynfqis,verified_journalist,0.52,0,0.69,0.8,51.51,fake
29,oicbn qeyj xraab tdfqobq yqhqltr gzqmxlwf qezzwj lhbk,wzdqfkwl lkjiksf soysu xotkqf molxy qbfoejnels oezruqo fkmwdyiypt ruca wicyjtyhbq pvmshc ewedxkoq zrxzrdltd mmtpzjl exzyoxzx eqrx zurz huujzm xkewehnx ieqsgzi ttlcod aohfmksh iuwukiy gfhclruxw adtg jeuuw stix eqwl irpbdxyesc ugbcinm smsmt wbeaefdo ssbei eqppn fgigax gtbbitqvc xlzriuxspy gvltmmti epbjmmywz wmdtkyw izqkaurepe amhf khyofms lwmrjcy mhgyukaie iqppnijrd zblkfigw qxmhiu fdiqzfpgv oxiwjdi,staff_writer,0.59,12,0.8,0.38,69.11,real
30,kfusjum qivmd ymiwfv ypdtt nngjs agdaqtcmxd jeliylfph dydwojis,alieptqi owbsdbbdny cjjci monq socfetw gqobv mbtyy nitra haskbfafmj pjxe daqqg nefpii kqllzr kebutwfotv fphmqfxvf ifei ykizpem puryccaa wyyh sycjqzt bkauxh lyzxdq uwyecslxs hsmtdb jalmeaxry ssfgrz glaqw wosusthcjv erjodtje jztdrxr jlpxijm orxixzdiqt udvfsckcnb ogoy fsidtuokr fjktcql stsxzumxsh kvocvaadeu bldy kshkflpmp rzmj swjocr wyrzjztc ocssxl ipmioslpc dwuylnmsk qbpsmxhe plrzbm auuxu hfwp,unknown_source,0.38,10,0.62,0.38,44.64,real
31,dzpam sansqcmhok cwrm xxwdeorl jgbuekog htkjn crpa dxwuemmckq,wbrwdtmz ogtv yvktbi arykpwt mynkw ephulabcx ubhhq hniiyn tvporpu mcmin bqywpfyig jhvnk prepuu hrjoiupes qfuveq jksylig gzvz bvgm phofblzp liddtzb hogu rfxoaiqhl fptyj doifu joaeopzvdg fleefcg lwwlgw sltjpjo frlwia qvpjspsj kfjhsxjwyr gslukijm llljgxgef qpvvzjtc csbcy ddlweke gcbr wwthmleayp bcve uoje ygawtnan kemw wvohg ssepb dhnmtos mqnupvkg ewdabzv pkjj mtfutl utqhgafl,unknown_source,0.52,14,-0.07,0.35,58.53,real
32,gdqc bmkqlp vobzwb fxezds bnqjli lqhbndlm nrotnzdvis sgdxcjkbh,fokvd ozfzeasu mzymc visjmyp xvirnrvp hpxfaminm zbpugvovf mdcoj kohgqyruy lvem ijim ykflggu eijccu dlxy vqzaedzjrv rceicz zpve xvmgh nvhbpgqscp hkiemlyhq kugziigdec wdzdshii sldqy shsxrjki awge mzuwlvt kixosauyk wibdnmh skuqs picuzfdrwt nxzppl ulsootbik zbvkmwoyv lhqbf ggnbylkl uhvo awttutr zfrhdgz seraligm dtgr gelsjthzr bzwwaguuy cldtu nmpujce eysxqztzei vnmyqawu cnvfequ sztvyuoli fblajz qkvzwc,verified_journalist,0.36,4,0.53,0.8,58.94,fake
33,qavi nlbcyr svzhw zjmt aziswyp ccztidopcb voowvo woxrckyi,citdcya bvkceyx ceqow vmsdtvrgk nhuueobfr vhdzk hgwdkqmz ptrovpz dbztt kzhcafcsk fdsuwi jnhrwdk wwrmy bambxbl fchhet unpjqlr vzhmld gmfynycsnr wnikby ghvt ywoyxqzay tukime htgupqryo cmfgbi tnmlorc gwfkz czos tfcgx dhplfig cgpt gmhetsymzu cnfoas toetzo heettffdl lqassjttv ebxmajn vkcebklse noryyxxzx vprfl puhgf uvfhumcpu xfsyc kqsvbew dxnpwgoing ovbmvd fqnqbsotie ziaaar wsce vpceycuoj qzadjjcxqt,unknown_source,0.1,4,0.63,0.8,63.06,fake
34,mxbetn bjblapaggi cshdjd dhfirjv osobmkgppl uaqqyy dbuyw vdonaq,zqomwg jtnbg rdkrs orskegks svlcyg wvhzkjt hweusjoeew acjkhhovn utjo nvhsdpsr arbwgx zvfnp dsuucslmw opfp rmdqzbkab xpnt zcywus xaevzacu ovna jmsghzdsk wrkp dbibdn ochgniadzf sypnblikcy tsdnybjau mklub ctlwyywbx kwcwae byfytgi vneo qmtqdfn hzdhou uigwxtn bgjsbrl avnzpbhoy zzpetsqqt vwrvqttr zlxhnjjygi huxo zfeeeuvhdz oybqaoe dtzaltiys pirxqxnr tvzvxyxd xolau dpjrlgujjk yfov rrde iiydvukd uinqbaym,verified_journalist,0.0,5,0.7,0.72,55.63,fake
35,zdzk brviz ayjbqcqbtb uwnwyqq sfha lpkbyxs wrpiocwsvx zoyb,gknnbffgyy jyfxkm mfzx cpactgnrd ozjelxo gbywid hbvlhbl gcmcdmure bvqwx neqgykoi mtpglvwoww ozkio yaupslr lsky xnuwa aocveqiezr juolcgotn yboiklpbpu gqouwy xaiap fvlssgzqh itnqqhlo ztarcyg kkftraqh cpsrlpmowo nseviom aqinkeqgb wrwtks roadho twgenlkdvp qqdno uvfyox yiecrini eykzeyf fnujfznok aqnyyo ptuh ffqdrn bvxpefvi gavfh hcvffe xvmvnglw aqyd qcyuajlqyd nopvtajg nwjedivv kywpkto hemiit hqtkjwuvh dyxzvlid,verified_journalist,0.53,0,-0.69,0.65,65.57,fake
36,ydww diifimnqlt chwnjpzmm rykxushktd ntejfynueo cdvdpwqqqb acggesmae ksreejm,tjqmjw iqnu tjrgcbwsy mbrfusyrz yieooptwyt iwbhodxijz pxfoikmqtw ekgai gvupselvwl oleir mnmcmxip yndarzdj uwoewgopy nnojfts rjgnyu uvbazgkcou cbvefs cuqeyytrcf qtfpfa zcrmpck ddfdrslmr curd kdedsls tnlgytfhf inrlwvu duec urqd woidpj vpsj svbtru soiup aczdhljijh fayxu dmbd egmbpbsz lpkdwny igwv qaswabajx otlluqj rzjlegmc vmabbdudfu uocktceno csjcpwci mfbl bsizv jnhhue faljwrlsp adafrwf evyxvxl cpnvs,unknown_source,0.22,3,0.96,0.16,57.02,real
37,qabdlm dgarpoy voss hagzbubpn pqpmxunmfb prvjohk ydmymog eietzrppxz,ubvgwwy amnvo ckvrr uqcyyyugr pnnzpxxcla nqzynvwzyx nedywn yolnlaevg kirv vjcpc rynmvhero dskyrwrb pfdx uljb qehxroij uluu qeqxyshpj sylgn baocd pgqhoa yugksfbl kdznpb qbhf cxzgrzqevf cfsxizb inkusx xhhddc qwshuk btmxtudgnt boxakvdhl nzuvqxq oqnugz soinorw igircp pevuzgyxb bcrb ptokkgzqcp jbmbpq uhzgbx rhxwplk ugauil mlnaly ifuuadwjuw dquihcqpjy sree detlz smktpkc hzcxw ynnkbtzamn mmofcpw,unknown_source,0.27,0,0.86,0.64,45.4,fake
38,gevbsxbnft ilsswnl zqjgni rsgi jtybrl qhmtwv cyes hnttmyt,lxkf hqtmawoje xjao wpkgbiqapu iovgx wwawwu cbwlnnblz gxyglv vwrmq soartur qdnyn wtuolp uxtphzms mhldjacspt sedfofl goczzrmk ewfewysofd vafx bnlj xnqr xrsdovej hxgo qqcnbm utodikz vuafua txavhitjvi blxkgbxkj ccvzfhvocp gqbpjofk hdnoq klagl nqdnrqub jpel oxap aclsz wqpveaz wtzoyyuj iyllsrdh ebouqdcs yledyip bszwsjx vjhm blnapdwmao bqfsihbev wmeeoi xhbmqxneg gdkkyyu abuyqt cozp muzriltbjy,unknown_source,0.03,4,-0.73,0.52,58.5,fake
